日期,委托时间,标的,交易类型,成交数量,成交价,成交额,委托数量,平仓盈亏,手续费,,
2011/12/22,9:30:00,福建南纺(600483.XSHG),买,2300股,5.42,12466,2300股,0,5,,
2011/12/23,9:30:00,福建南纺(600483.XSHG),卖,-2300股,5.3,-12190,-2300股,-276,17.19,,
2011/12/23,9:30:00,金融街(000402.XSHE),卖,-200股,6.01,-1202,-200股,13.42,6.2,,
2011/12/23,9:30:00,龙头股份(600630.XSHG),卖,-100股,5.18,-518,-100股,-30.13,5.52,,
2011/12/23,9:30:00,浙江东方(600120.XSHG),买,2100股,7.21,15141,2100股,0,5,,
2011/12/28,9:30:00,龙头股份(600630.XSHG),卖,-3700股,4.98,-18426,-3700股,-1854.87,23.95,,
2011/12/28,9:30:00,浙江东方(600120.XSHG),买,300股,7.12,2136,300股,0,5,,
2011/12/28,9:30:00,冠城大通(600067.XSHG),买,2700股,6.1,16470,2700股,0,5,,
2012/1/4,9:30:00,浙江东方(600120.XSHG),卖,-2400股,7.19,-17256,-2400股,-21,22.43,,
2012/1/4,9:30:00,冠城大通(600067.XSHG),卖,-2700股,6.17,-16659,-2700股,189,21.66,,
2012/1/4,9:30:00,金融街(000402.XSHE),卖,-100股,6.08,-608,-100股,13.71,5.61,,
2012/1/4,9:30:00,开滦股份(600997.XSHG),卖,-100股,11.19,-1119,-100股,-64.81,6.12,,
2012/1/4,9:30:00,上海汽车(600104.XSHG),卖,-100股,14.26,-1426,-100股,157,6.43,,
2012/1/4,9:30:00,名流置业(000667.XSHE),买,10000股,2.19,21900,10000股,0,6.57,,
2012/1/4,9:30:00,冠城大通(600067.XSHG),买,2400股,6.19,14856,2400股,0,5,,
2012/1/5,9:30:00,开滦股份(600997.XSHG),卖,-1500股,10.58,-15870,-1500股,-1887.19,20.87,,
2012/1/5,9:30:00,金融街(000402.XSHE),卖,-100股,5.9,-590,-100股,-4.29,5.59,,
2012/1/5,9:30:00,上海汽车(600104.XSHG),卖,-100股,14.08,-1408,-100股,139,6.41,,
2012/1/5,9:30:00,名流置业(000667.XSHE),卖,-400股,2.16,-864,-400股,-12,5.86,,
2012/1/5,9:30:00,冠城大通(600067.XSHG),买,300股,5.96,1788,300股,0,5,,
2012/1/5,9:30:00,酒钢宏兴(600307.XSHG),买,4800股,3.62,17376,4800股,0,5.21,,
